#domain,ioc,ip
iwannasmilenow.com,Possible DinDoor Domain (Unverified),2.27.248.61
j0w.co,Possible BurpSuite Collaborator Domain (Unverified),135.125.1.85
jack.fudisa.com,Possible Mythic Domain (Unverified),216.126.225.87
jeanpec.com,Possible Supershell Domain (Unverified),47.254.73.23
jialiang.ren,Possible Ligolo-ng Domain (Unverified),47.99.68.2
js.innovativesecurity.org,Possible BurpSuite Collaborator Domain (Unverified),18.209.205.211
karpatiat.net,Possible BurpSuite Collaborator Domain (Unverified),94.237.12.223
kera368.monitoring.mariadb.com,Possible Ligolo-ng Domain (Unverified),94.237.68.71
kiss.ddns.ge,Possible wstunnel Domain (Unverified),128.204.223.95
kpa.pw,Possible BurpSuite Collaborator Domain (Unverified),37.60.241.125
krollab.kroll-testing.com,Possible BurpSuite Collaborator Domain (Unverified),3.97.181.133
ky001.cloudns.be,Possible wstunnel Domain (Unverified),128.204.223.99
l4j.me,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.105
la.west.usa.torguardvpnaccess.com,Possible DcRat Domain (Unverified),146.70.49.58
laazypizza.ro,Possible Metasploit Domain (Unverified),162.55.91.224
lasecagirl.com,Possible Ligolo-ng Domain (Unverified),45.133.210.173
lh6.gloggs.divesrscosupply.com,Possible Evilginx/EvilGoPhish Domain (Unverified),162.35.105.100
life-mc.space,Possible Mythic Domain (Unverified),31.77.145.53
lima.pt3.io,Possible BurpSuite Collaborator Domain (Unverified),142.132.235.229
linkedinr.com,Possible DinDoor Domain (Unverified),93.152.223.242
linki.devagroup.com.pl,Possible Pyramid Domain (Unverified),54.38.94.225
ln38.ln.pt.y-sec.org,Possible BurpSuite Collaborator Domain (Unverified),63.186.89.51
localghost.world,Possible AdaptixC2 Domain (Unverified),107.175.87.234
localgroom.com,Possible DinDoor Domain (Unverified),2.27.248.236
locker-reiais.com,Possible AdaptixC2 Domain (Unverified),91.215.85.212
log.zyp3.com,Possible BurpSuite Collaborator Domain (Unverified),178.18.249.161
login.microsoftonline.gexoa.zip,Possible AdaptixC2 Domain (Unverified),203.161.57.75
lsg.dev,Possible BurpSuite Collaborator Domain (Unverified),20.121.57.155
luinnl.uk,Possible wstunnel Domain (Unverified),141.105.143.82
mail.collaborator.chaosgnome.ninja,Possible BurpSuite Collaborator Domain (Unverified),44.230.244.199
mail.cqo.ch,Possible BurpSuite Collaborator Domain (Unverified),195.49.25.218
mail.mail.mail.mail.mail.burpcol.versprite.services,Possible BurpSuite Collaborator Domain (Unverified),50.116.39.56
mail.mail.mail.mail.mail.mail.dashboard.mgmsp-lab.com,Possible BurpSuite Collaborator Domain (Unverified),81.169.176.36
mail.mail.mail.mail.mail.mail.mail.b.4a.io,Possible BurpSuite Collaborator Domain (Unverified),91.107.199.191
mail.mail.mail.mail.mail.mail.mail.mail.mail.bc.on2.us,Possible BurpSuite Collaborator Domain (Unverified),104.155.53.206
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.collab.threatunit.net,Possible BurpSuite Collaborator Domain (Unverified),44.206.215.180
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.cqo.ch,Possible BurpSuite Collaborator Domain (Unverified),195.49.25.218
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.bf.gy,Possible BurpSuite Collaborator Domain (Unverified),52.11.119.103
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.ns2.ywrzzg.com,Possible BurpSuite Collaborator Domain (Unverified),162.243.108.120
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.net-spi.com,Possible BurpSuite Collaborator Domain (Unverified),3.143.96.203
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.ns4.aurainfosec-test.com,Possible BurpSuite Collaborator Domain (Unverified),52.65.148.12
mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.ns1.burpcollab.gremwell.com,Possible BurpSuite Collaborator Domain (Unverified),151.106.50.58
mail.mail.mail.mail.mail.mail.mail.mail.mail.ns1.col.atredinomine.com,Possible BurpSuite Collaborator Domain (Unverified),34.237.54.93
mail.mail.mail.mail.mail.mail.mail.ns1.burp.collaborator.2consult.ch,Possible BurpSuite Collaborator Domain (Unverified),178.209.62.44
mail.mail.mail.mail.mail.mail.mail.ns1.burp.mtest.no,Possible BurpSuite Collaborator Domain (Unverified),94.127.56.232
mail.mail.mail.mail.mail.mail.mail.ns1sub.burpcol.versprite.services,Possible BurpSuite Collaborator Domain (Unverified),50.116.39.56
mail.mail.mail.mail.mail.mail.mail.ns2.bhisco.com,Possible BurpSuite Collaborator Domain (Unverified),138.197.202.65
mail.mail.mail.mail.mail.mail.ns2.ywrzzg.com,Possible BurpSuite Collaborator Domain (Unverified),162.243.108.120
mail.mail.mail.mta-sts.mail.mail.mail.mail.bhisco.com,Possible BurpSuite Collaborator Domain (Unverified),138.197.202.65
mail.mail.mta-sts.mail.mail.mail.mail.mail.ns1.coallaborator.net,Possible BurpSuite Collaborator Domain (Unverified),34.205.242.255
mail.mail.x.scrt.pl,Possible BurpSuite Collaborator Domain (Unverified),139.162.149.137
mail.ns1.snpoc.com,Possible BurpSuite Collaborator Domain (Unverified),185.19.184.142
mail.wiz8.com,Possible BurpSuite Collaborator Domain (Unverified),12.110.86.134
mailadmin.legionhosting.co.uk,Possible Metasploit Domain (Unverified),79.137.34.141
martin902.com,Possible Hak5 Cloud C2 Domain (Unverified),51.68.220.158
md.vavle.fun,Possible PureRAT Domain (Unverified),80.97.160.38
meidusha.org,Possible AdaptixC2 Domain (Unverified),202.95.8.92
mesutredyildirim.com,Possible AdaptixC2 Domain (Unverified),5.133.102.33
meteo.gheza.net,Possible Hak5 Cloud C2 Domain (Unverified),94.185.79.214
mitmchat.com,Possible Havoc Domain (Unverified),185.130.45.240
montu.at,Possible BurpSuite Collaborator Domain (Unverified),81.223.75.90
mosgorizbirkon.ru,Possible AdaptixC2 Domain (Unverified),89.110.91.35
mqtt.he4966.cn,Possible Supershell Domain (Unverified),117.72.72.254
mrh.prox-ima.it,Possible Brute Ratel C4 Domain (Unverified),213.199.35.149
museudosbiscainhos.gov.pt,Possible AdaptixC2 Domain (Unverified),130.185.82.117
mymcp.syslifter.com,Possible BurpSuite Collaborator Domain (Unverified),138.199.244.38
mythic.xw.rs,Possible Mythic Domain (Unverified),45.92.158.150
myusabank.com,Possible BurpSuite Collaborator Domain (Unverified),52.54.233.33
na.nccburp.com,Possible BurpSuite Collaborator Domain (Unverified),38.99.30.43
ncloud.one,Possible wstunnel Domain (Unverified),194.233.67.95
neighbloom.com,Possible DinDoor Domain (Unverified),23.94.252.87
neodriveframework.com,Possible DinDoor Domain (Unverified),91.92.43.194
new-bg.dhapp.cfd,Possible Ligolo-ng Domain (Unverified),113.30.152.11
nexpose.cmitcentralri.com,Possible Metasploit Domain (Unverified),184.185.107.7
nextgpt.dev,Possible BurpSuite Collaborator Domain (Unverified),165.227.170.169
nineninesecurity.co.tz,Possible AdaptixC2 Domain (Unverified),109.123.245.205
nirvatopia.com,Possible Hak5 Cloud C2 Domain (Unverified),85.90.244.171
nitech066.myqnapcloud.com,Possible Hak5 Cloud C2 Domain (Unverified),95.82.0.207
nlpah.bungab.com,Possible PureRAT Domain (Unverified),172.237.88.168
no.collaborator.fi,Possible BurpSuite Collaborator Domain (Unverified),3.255.24.167
node.ripalgantengstore.mystore-panel.my.id,Possible Evilginx/EvilGoPhish Domain (Unverified),178.128.171.71
ns.form3-infosec.com,Possible BurpSuite Collaborator Domain (Unverified),18.130.37.164
ns1.a-azon.com,Possible BurpSuite Collaborator Domain (Unverified),161.35.246.210
ns1.bscollab.ioactive.com,Possible BurpSuite Collaborator Domain (Unverified),162.43.142.93
ns1.c01.red,Possible BurpSuite Collaborator Domain (Unverified),18.136.214.207
ns1.neverblock.fun,Possible BurpSuite Collaborator Domain (Unverified),167.235.148.176
ns1.oast.run,Possible BurpSuite Collaborator Domain (Unverified),51.81.21.204
ns1.penetore.com,Possible Havoc Domain (Unverified),54.95.208.190
ns1.steelcdn.net,Possible BurpSuite Collaborator Domain (Unverified),35.175.92.152
ns2.b8q.me,Possible BurpSuite Collaborator Domain (Unverified),51.195.217.12
ns2.burp.ninja,Possible BurpSuite Collaborator Domain (Unverified),91.238.238.101
ns2.d-offsec.com,Possible BurpSuite Collaborator Domain (Unverified),63.186.8.133
ns2.jj2.pw,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.153
ns2.kaxbdu6svrd2ngbw.com,Possible BurpSuite Collaborator Domain (Unverified),153.127.202.149
ns2.nopjt.com,Possible BurpSuite Collaborator Domain (Unverified),94.237.118.10
ns2.oastly.com,Possible BurpSuite Collaborator Domain (Unverified),104.197.184.198
ns2.puracollaborator.com,Possible BurpSuite Collaborator Domain (Unverified),32.192.58.79
ns3.acceleratedweb.net,Possible Viper Domain (Unverified),216.118.101.3
ns4.arcollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),18.192.228.100
nsa.systems,Possible BurpSuite Collaborator Domain (Unverified),13.49.231.33
nscollaborator.six-red.com,Possible BurpSuite Collaborator Domain (Unverified),20.208.137.30
nsfhw.tech,Possible Hak5 Cloud C2 Domain (Unverified),45.238.142.234
nuhai.xyz,Possible DinDoor Domain (Unverified),91.92.33.250
nvcollaborator.nvidia.com,Possible BurpSuite Collaborator Domain (Unverified),18.217.65.39
nx1.fi,Possible BurpSuite Collaborator Domain (Unverified),18.184.113.9
nx1.fi,Possible BurpSuite Collaborator Domain (Unverified),3.125.80.158
oast.fearsiswin.indevs.in,Possible BurpSuite Collaborator Domain (Unverified),45.82.244.6
oast.infigo.hr,Possible BurpSuite Collaborator Domain (Unverified),52.142.226.8
oast.run,Possible BurpSuite Collaborator Domain (Unverified),51.81.21.204
oast.soteria-offsec.io,Possible BurpSuite Collaborator Domain (Unverified),52.3.183.82
oauth2.varrysections.digital,Possible Evilginx/EvilGoPhish Domain (Unverified),74.0.32.137
ogs.fullwoodcare.co.uk,Possible Evilginx/EvilGoPhish Domain (Unverified),142.93.49.30
oldervi.com,Possible BurpSuite Collaborator Domain (Unverified),68.66.235.113
onlyz.xyz,Possible Sliver Domain (Unverified),51.15.8.6
oob.bountyexplained.com,Possible BurpSuite Collaborator Domain (Unverified),129.212.194.246
oob.dsllaced.com,Possible BurpSuite Collaborator Domain (Unverified),51.159.149.184
oob.pwn.rocks,Possible BurpSuite Collaborator Domain (Unverified),136.117.244.47
op.online-pdf090459.ronchni.it,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.59
opr.lv,Possible BurpSuite Collaborator Domain (Unverified),82.145.216.214
pakistan-dns.live,Possible Ligolo-ng Domain (Unverified),64.111.92.7
panel.vdsly.com,Possible Metasploit Domain (Unverified),51.195.105.59
pdf-sos.com,Possible AsyncRAT Domain (Unverified),80.190.77.86
pentest.tlnr.no,Possible BurpSuite Collaborator Domain (Unverified),51.13.164.239
pentestr.net,Possible BurpSuite Collaborator Domain (Unverified),34.122.224.197
petalasie.com,Possible DinDoor Domain (Unverified),23.94.252.80
photo.lv-11.com,Possible Evilginx/EvilGoPhish Domain (Unverified),192.208.12.91
pics.18qiang.com,Possible Metasploit Domain (Unverified),60.191.208.227
piffi.com,Possible NetSupportRAT Domain (Unverified),159.69.46.0
pilotairbus.com,Possible BurpSuite Collaborator Domain (Unverified),157.173.112.251
pingbackmetrics.com,Possible BurpSuite Collaborator Domain (Unverified),37.220.220.106
pingus.ca,Possible BurpSuite Collaborator Domain (Unverified),52.60.34.199
pintsslove.com,Possible PureRAT Domain (Unverified),185.174.102.5
plancontrol.space,Possible wstunnel Domain (Unverified),178.253.23.199
plateformessuresfrance.com,Possible Ligolo-ng Domain (Unverified),83.136.250.175
play.omniroutelogisticss.ltd,Possible Evilginx/EvilGoPhish Domain (Unverified),45.154.98.207
polling.collab.urmcyber.xyz,Possible BurpSuite Collaborator Domain (Unverified),167.99.92.95
ppu.pw,Possible BurpSuite Collaborator Domain (Unverified),135.125.183.49
prod.hackingasaservice.network,Possible BurpSuite Collaborator Domain (Unverified),20.31.224.59
proseclabscollab.com,Possible BurpSuite Collaborator Domain (Unverified),3.140.217.238
prtl.toshka.co.uk,Possible Evilginx/EvilGoPhish Domain (Unverified),169.58.12.228
prubelifepay.com,Possible Hak5 Cloud C2 Domain (Unverified),74.208.201.158
pt.etas.com,Possible BurpSuite Collaborator Domain (Unverified),20.113.47.171
pt.sentrycollaborator.net,Possible BurpSuite Collaborator Domain (Unverified),15.160.65.200
qr1.0office.top,Possible wstunnel Domain (Unverified),38.22.235.75
rapid7test.com,Possible BurpSuite Collaborator Domain (Unverified),38.242.21.206
react.cevox.net,Possible Evilginx/EvilGoPhish Domain (Unverified),69.164.245.180
red2.whitehat.blog,Possible BurpSuite Collaborator Domain (Unverified),159.65.116.111
referentie.org,Possible PureRAT Domain (Unverified),217.60.195.139
rfkldcvmb.chb.pt.y-sec.org,Possible BurpSuite Collaborator Domain (Unverified),52.29.255.95
rnr.plqa.xyz,Possible Reverse_SSH Domain (Unverified),192.3.84.131
robl0x.work.gd,Possible CHAOS Domain (Unverified),222.255.100.119
rouzbahan.ac.ir,Possible Metasploit Domain (Unverified),78.38.80.242
rovider.net,Possible AsyncRAT Domain (Unverified),80.190.77.86
rsmcollaborator.com,Possible BurpSuite Collaborator Domain (Unverified),157.230.61.47
rw8.me,Possible BurpSuite Collaborator Domain (Unverified),51.91.79.144
s0k.xyz,Possible BurpSuite Collaborator Domain (Unverified),54.37.72.253
saburp.computersecuritypolicy.org,Possible BurpSuite Collaborator Domain (Unverified),175.145.93.178
safe-netsurfing.com,Possible Hak5 Cloud C2 Domain (Unverified),15.161.176.25
sallerlab.net,Possible BurpSuite Collaborator Domain (Unverified),94.130.187.49
sdawx.shop,Possible DcRat Domain (Unverified),156.238.120.12
securemailinbox.com,Possible Mythic Domain (Unverified),20.200.61.22
securetransfer.rijkscloud.nl.sollicitatie.zip,Possible BurpSuite Collaborator Domain (Unverified),147.181.37.190
securitum.ninja,Possible Metasploit Domain (Unverified),139.144.78.41
securitytesting.asclab.net,Possible BurpSuite Collaborator Domain (Unverified),49.255.213.133
server.oldervi.com,Possible BurpSuite Collaborator Domain (Unverified),68.66.235.113
sgs-z.com,Possible AdaptixC2 Domain (Unverified),134.122.132.28
share.file-opt.com,Possible Mythic Domain (Unverified),134.209.112.52
sharpen.top,Possible AdaptixC2 Domain (Unverified),43.160.225.40
shelterhearts.help,Possible HypeAgent C2 Domain (Unverified),45.88.91.50
sin.ichan.space,Possible Ligolo-ng Domain (Unverified),94.237.69.189
sistema.supportline.com.br,Possible Ligolo-ng Domain (Unverified),177.130.81.78
sitemap.0pq.co,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
sitemap.926.cam,Possible Supershell Domain (Unverified),109.206.244.150
skgorky.ru,Possible AsyncRAT Domain (Unverified),31.177.110.9
skillet.aikitchtech.com,Possible DinDoor Domain (Unverified),31.76.96.194
smsstatus.net,Possible Hak5 Cloud C2 Domain (Unverified),185.213.27.138
snap.0x27.top,Possible BurpSuite Collaborator Domain (Unverified),49.235.104.231
sniper.cambounisoll.com,Possible Metasploit Domain (Unverified),120.136.24.164
sniperya.com,Possible DinDoor Domain (Unverified),23.94.252.16
sonarr.darkmavies.ca,Possible Evilginx/EvilGoPhish Domain (Unverified),149.56.12.202
sonqhong.com,Possible AsyncRAT Domain (Unverified),195.177.94.101
speedtest.sistemaspalacios.com.co,Possible Reverse_SSH Domain (Unverified),201.182.251.238
ss-pentest.shop,Possible BurpSuite Collaborator Domain (Unverified),35.95.200.44
ssl.gexoa.zip,Possible AdaptixC2 Domain (Unverified),203.161.55.41
sslvpn.montalvo.com,Possible Bianlian Go Trojan Domain (Unverified),216.107.208.250
stan-erneuern.info,Possible HypeAgent C2 Domain (Unverified),64.89.160.140
startmain.042310.xyz,Possible Viper Domain (Unverified),103.215.81.156
staticbrochure702devb.pstechs.net,Possible BurpSuite Collaborator Domain (Unverified),100.26.154.249
stevedixonphotos.com,Possible AdaptixC2 Domain (Unverified),185.33.86.141
storeniche.com,Possible DinDoor Domain (Unverified),2.27.248.234
studio.flexiu.com,Possible Ligolo-ng Domain (Unverified),157.230.80.211
styloraib.com,Possible DinDoor Domain (Unverified),2.27.248.80
surgery.healthydefinitetrunk.com,Possible DinDoor Domain (Unverified),2.27.122.16
t9p.me,Possible BurpSuite Collaborator Domain (Unverified),57.128.169.252
teamsbotmedia.cymmetriktools.com,Possible AsyncRAT Domain (Unverified),18.178.127.205
teamsbotmedia.cymmetriktools.com,Possible AsyncRAT Domain (Unverified),52.196.79.161
teamsbotmedia.cymmetriktools.com,Possible AsyncRAT Domain (Unverified),54.199.206.9
techsightlab.com,Possible BurpSuite Collaborator Domain (Unverified),164.92.135.94
terminal.cubelaboratory.com,Possible Mythic Domain (Unverified),206.189.167.120
tested-by-edgescan.com,Possible BurpSuite Collaborator Domain (Unverified),63.32.201.71
thebangbros.com,Possible AsyncRAT Domain (Unverified),80.190.77.86
tihuloj.com,Possible AdaptixC2 Domain (Unverified),185.242.245.27
tms.beaglesecure.com,Possible AdaptixC2 Domain (Unverified),202.191.67.71
toc6collab.security-samurai.de,Possible BurpSuite Collaborator Domain (Unverified),18.195.157.180
tracking.appwifi.com,Possible Metasploit Domain (Unverified),103.53.171.25
trafficcentral.net,Possible BurpSuite Collaborator Domain (Unverified),138.197.6.92
ts.majorflow.jp,Possible Brute Ratel C4 Domain (Unverified),13.231.27.0
tts88.cc,Possible DcRat Domain (Unverified),143.92.61.232
txxy666.top,Possible Bianlian Go Trojan Domain (Unverified),122.51.212.92
u0h.me,Possible BurpSuite Collaborator Domain (Unverified),217.182.168.142
u78dm.r4cafffq.com,Possible BurpSuite Collaborator Domain (Unverified),44.207.126.65
uk-lon-16.firstlookgames.com,Possible Ligolo-ng Domain (Unverified),83.136.253.246
uk.nccburp.com,Possible BurpSuite Collaborator Domain (Unverified),5.148.32.234
us.droidbox.cc,Possible BurpSuite Collaborator Domain (Unverified),3.16.209.14
ux6.me,Possible BurpSuite Collaborator Domain (Unverified),141.94.204.116
v.vii.vi,Possible BurpSuite Collaborator Domain (Unverified),209.126.81.167
vaadata.collaborator.fr,Possible BurpSuite Collaborator Domain (Unverified),139.59.207.120
vakvak.net,Possible BurpSuite Collaborator Domain (Unverified),67.207.72.191
valleyaerialsllc.com,Possible AdaptixC2 Domain (Unverified),155.138.215.87
varrysections.digital,Possible Evilginx/EvilGoPhish Domain (Unverified),74.0.32.137
vdz.xyz,Possible BurpSuite Collaborator Domain (Unverified),37.187.54.230
vectrion.de,Possible Hak5 Cloud C2 Domain (Unverified),173.249.27.61
veikkaus.fun,Possible BurpSuite Collaborator Domain (Unverified),139.59.135.3
vi27.com,Possible BurpSuite Collaborator Domain (Unverified),3.223.62.26
video.suntendy.com.cn,Possible Reverse_SSH Domain (Unverified),152.136.56.105
video.suntendy.com.cn,Possible Supershell Domain (Unverified),152.136.56.105
vina3.n3t.top,Possible wstunnel Domain (Unverified),103.199.19.148
vk2.pw,Possible BurpSuite Collaborator Domain (Unverified),51.38.231.99
vpn-portal.ocpetsai.com,Possible wstunnel Domain (Unverified),178.104.152.249
vpn.burgerhalva.ru,Possible AdaptixC2 Domain (Unverified),45.150.38.95
vpn.pwny.world,Possible Sliver Domain (Unverified),82.165.79.60
vps02api.flowsistemas.com.br,Possible Ligolo-ng Domain (Unverified),185.193.66.120
w4.to,Possible BurpSuite Collaborator Domain (Unverified),34.145.243.184
wapanel.diwanstechsol.com,Possible Mythic Domain (Unverified),159.198.75.180
web.rocketsrv.net,Possible PureRAT Domain (Unverified),94.103.1.61
webcollaborator.ecfirst.com,Possible BurpSuite Collaborator Domain (Unverified),52.22.63.51
webmail.firstanz.cc,Possible Ransomhub Python C2 Domain (Unverified),38.146.28.93
well-pal.antisoc.io,Possible Mythic Domain (Unverified),157.245.228.139
whxck.xyz,Possible BurpSuite Collaborator Domain (Unverified),43.153.206.145
winassistantx.supportrmx.foo,Possible AsyncRAT Domain (Unverified),186.169.88.130
wins2days.org,Possible HypeAgent C2 Domain (Unverified),194.59.30.96
wpz.pw,Possible BurpSuite Collaborator Domain (Unverified),149.202.34.181
www.0pq.co,Possible BurpSuite Collaborator Domain (Unverified),51.195.222.152
www.amyicotech.com,Possible AdaptixC2 Domain (Unverified),149.202.227.107
www.bbs.mythicalkingdom.com,Possible Mythic Domain (Unverified),132.145.210.148
www.canasllots.com,Possible PureRAT Domain (Unverified),84.200.77.29
www.collab.garmin.com,Possible BurpSuite Collaborator Domain (Unverified),18.214.31.1
www.covenant.vip,Possible Covenant Domain (Unverified),45.56.91.55
www.duuf666.cn,Possible Supershell Domain (Unverified),117.72.202.93
www.estrenosok.com,Possible Ligolo-ng Domain (Unverified),192.169.7.110
www.expertisecentrumeuthenasie.nl,Possible Hak5 Cloud C2 Domain (Unverified),95.179.135.253
www.exztkqvpn.fun,Possible Metasploit Domain (Unverified),2.27.20.45
www.hjxnzf.top,Possible DcRat Domain (Unverified),82.23.246.148
www.literaturstuebchen.de,Possible BurpSuite Collaborator Domain (Unverified),87.106.81.96
www.mail.mail.burp.schellman.info,Possible BurpSuite Collaborator Domain (Unverified),34.233.59.171
www.mail.mail.mail.mail.mail.mail.mail.burp.mpt.veracodelabs.com,Possible BurpSuite Collaborator Domain (Unverified),34.195.200.154
www.mail.mail.mail.mail.mail.mail.mail.mail.mail.burp.schellman.info,Possible BurpSuite Collaborator Domain (Unverified),34.233.59.171
www.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.ns1.ywrzzg.com,Possible BurpSuite Collaborator Domain (Unverified),162.243.108.120
www.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.mail.testdnscoll.testlt.pl,Possible BurpSuite Collaborator Domain (Unverified),85.255.10.103
www.mail.mail.mail.mail.mail.mail.x.scrt.pl,Possible BurpSuite Collaborator Domain (Unverified),139.162.149.137
www.mail.mail.mail.mail.ns1.burp.cirosec.com,Possible BurpSuite Collaborator Domain (Unverified),195.243.60.207
www.mail.mail.mail.ns1.bcs.shrk.io,Possible BurpSuite Collaborator Domain (Unverified),52.41.201.69
www.mail.mail.ns1.bftnz.com,Possible BurpSuite Collaborator Domain (Unverified),52.20.13.168
www.mail.mail.ns1.burp.usd.de,Possible BurpSuite Collaborator Domain (Unverified),82.98.89.2
www.maquitacushunfin.site,Possible Hak5 Cloud C2 Domain (Unverified),146.190.211.163
www.medicalhistory.site,Possible AsyncRAT Domain (Unverified),45.131.182.88
www.ns1.techsightlab.com,Possible BurpSuite Collaborator Domain (Unverified),164.92.135.94
www.pambam.tk,Possible Mythic Domain (Unverified),208.87.129.112
www.pekvital.com,Possible wstunnel Domain (Unverified),43.106.139.208
www.pivotpoint.fit,Possible Mythic Domain (Unverified),89.127.233.194
www.pma.devagroup.com.pl,Possible Pyramid Domain (Unverified),54.38.94.225
www.polling.bcserver.infoatrisk.com,Possible BurpSuite Collaborator Domain (Unverified),52.42.37.36
www.sccic.info,Possible Mythic Domain (Unverified),134.209.41.160
www.shnsk.com,Possible Supershell Domain (Unverified),103.233.8.46
www.sitesforclasses.com,Possible DinDoor Domain (Unverified),2.27.248.16
www.soka-nline.com,Possible AsyncRAT Domain (Unverified),80.190.77.86
www.sunyotech.com,Possible Ligolo-ng Domain (Unverified),67.207.81.22
www.systemscape.asiier.com,Possible wstunnel Domain (Unverified),128.204.223.112
www.tech-corp.net,Possible wstunnel Domain (Unverified),135.181.35.122
www.thebangbros.com,Possible AsyncRAT Domain (Unverified),80.190.77.86
www.usapdfa.com,Possible AsyncRAT Domain (Unverified),80.190.77.86
www.vps10.ramaldigital.com.br,Possible Metasploit Domain (Unverified),207.244.232.58
www.vps113661.inmotionhosting.com,Possible BurpSuite Collaborator Domain (Unverified),23.235.220.135
wxcdc.movaci.net,Possible Hak5 Cloud C2 Domain (Unverified),203.170.50.237
x.ctxp.ru,Possible BurpSuite Collaborator Domain (Unverified),185.98.81.158
x.gru.fi,Possible Ligolo-ng Domain (Unverified),138.2.99.199
x3p.me,Possible BurpSuite Collaborator Domain (Unverified),57.129.14.39
x9.to,Possible BurpSuite Collaborator Domain (Unverified),34.145.238.24
xkk.chaosmedia.cn,Possible CHAOS Domain (Unverified),117.72.101.55
xoqwfb.swellcss.com,Possible BurpSuite Collaborator Domain (Unverified),20.204.67.121
xss.xxx,Possible Reverse_SSH Domain (Unverified),47.79.249.180
xxooxx.duckdns.org,Possible Hak5 Cloud C2 Domain (Unverified),212.34.136.14
yfz.cc.cd,Possible wstunnel Domain (Unverified),85.194.243.117
yhies.work,Possible BurpSuite Collaborator Domain (Unverified),92.222.178.185
zmxncbv.xyz,Possible BurpSuite Collaborator Domain (Unverified),34.142.45.193
